Date,KOSPI_Close,KOSPI_Open,KOSPI_High,KOSPI_Low,KOSPI_Volume,Samsung_Return,SKHynix_Return,VKOSPI_Index,SP500_Close,NASDAQ_Close
2016-09-22,2049.699951171875,2050.31005859375,2060.260009765625,2048.800048828125,447600,0.01633165829145722,0.0063856960408683605,9815.0,2177.179931640625,5339.52001953125
2016-09-23,2054.070068359375,2053.219970703125,2057.35009765625,2048.9599609375,494100,-0.029048207663782466,-0.0012690355329949554,9820.0,2164.68994140625,5305.75
2016-09-26,2047.1099853515625,2052.760009765625,2060.7099609375,2042.699951171875,359600,-0.0019096117122852085,0.003811944091486552,9875.0,2146.10009765625,5257.490234375
2016-09-27,2062.820068359375,2037.3199462890625,2064.889892578125,2031.1300048828125,664000,0.0006377551020408934,0.04177215189873418,9745.0,2159.929931640625,5305.7099609375
2016-09-28,2053.06005859375,2062.570068359375,2062.97998046875,2051.679931640625,546500,-0.001274697259400881,0.0012150668286756705,9805.0,2171.3701171875,5318.5498046875
2016-09-29,2068.719970703125,2063.739990234375,2072.090087890625,2063.739990234375,416200,0.02105934907466489,-0.024271844660194164,9645.0,2151.1298828125,5269.14990234375
2016-09-30,2043.6300048828125,2054.25,2056.330078125,2042.77001953125,326400,-0.0012499999999999734,0.0,9880.0,2168.27001953125,5312.0
2016-10-04,2054.860107421875,2056.93994140625,2059.25,2050.4599609375,318900,0.01001251564455563,0.03980099502487566,9760.0,2150.489990234375,5289.66015625
2016-10-05,2053.0,2043.3699951171875,2056.010009765625,2036.8699951171875,292300,0.0030978934324659146,0.019138755980861344,9760.0,2159.72998046875,5316.02001953125
2016-10-06,2065.300048828125,2069.300048828125,2070.429931640625,2055.830078125,337700,0.044471896232242125,-0.0011737089201877549,9635.0,2160.77001953125,5306.85009765625
2016-10-07,2053.800048828125,2065.949951171875,2067.489990234375,2051.60009765625,422400,0.008870490833826183,-0.008225616921269108,9690.0,2153.739990234375,5292.39990234375
2016-10-10,2056.820068359375,2047.18994140625,2058.72998046875,2039.989990234375,314900,-0.015240328253223967,-0.021327014218009532,9655.0,2163.659912109375,5328.669921875
2016-10-11,2031.9300537109375,2053.2900390625,2060.780029296875,2030.510009765625,343200,-0.0803571428571429,0.0,9950.0,2136.72998046875,5246.7900390625
